subject_id,session_id,domain,position,word,language_type,rt_ms,x,y
53105,32zXoOEyomBdbyGIOg7U,body-parts,1,कान,Hindi/Hinglish,10526.2,0.6496359523719996,0.18151098237991795
53105,32zXoOEyomBdbyGIOg7U,body-parts,2,आँख,Hindi/Hinglish,7766.1,0.6392720688345395,0.05213613323678494
53105,32zXoOEyomBdbyGIOg7U,body-parts,3,नाक,Hindi/Hinglish,6679.3,0.5074663855448985,0.1235819454501569
53105,32zXoOEyomBdbyGIOg7U,body-parts,4,हाथ,Hindi/Hinglish,6062.1,0.14518996950118304,0.4537774854140267
53105,32zXoOEyomBdbyGIOg7U,body-parts,5,मूह,Hindi/Hinglish,12374.1,0.5031180969314359,0.003861935795317403
53105,32zXoOEyomBdbyGIOg7U,body-parts,6,पैर,Hindi/Hinglish,10623.8,0.0659700470138846,0.3746078016100199
53105,32zXoOEyomBdbyGIOg7U,foods,1,दाल,Hindi/Hinglish,6866.6,0.7357678743477576,0.2645426019792421
53105,32zXoOEyomBdbyGIOg7U,foods,2,चावल,Hindi/Hinglish,6508.8,0.7430061732308306,0.31860970311368575
53105,32zXoOEyomBdbyGIOg7U,foods,3,रोटी,Hindi/Hinglish,7965.0,0.35217446356953563,0.2104755303090303
53105,32zXoOEyomBdbyGIOg7U,foods,4,फल,Hindi/Hinglish,7492.9,0.31290873103904404,0.5426020087063269
53105,32zXoOEyomBdbyGIOg7U,foods,5,सब्जी,Hindi/Hinglish,8415.1,0.3513485573688599,0.25295682405752173
53105,32zXoOEyomBdbyGIOg7U,foods,6,पापड़,Hindi/Hinglish,16184.6,0.6098094498057248,0.04248129374849143
53105,32zXoOEyomBdbyGIOg7U,animals,1,गाय,Hindi/Hinglish,6785.4,0.6887980543030185,0.12744391070970612
53105,32zXoOEyomBdbyGIOg7U,animals,2,भैंस,Hindi/Hinglish,7446.4,0.6875051191599977,0.17185617235585626
53105,32zXoOEyomBdbyGIOg7U,animals,3,कुत्ता,Hindi/Hinglish,5621.8,0.49280503015253246,0.2297852092856173
